blocker_category,blocker_reason,relationship_id,signal_ts_ms,space_id,strategy_family
economic_or_replay,max_trades,0b6d07e1b4fc8bf6607e55ee1f49d88c,1764964816000,0b6d07e1b4fc8bf6607e55ee1f49d88c,nesting
economic_or_replay,max_trades,0b6d07e1b4fc8bf6607e55ee1f49d88c,1764968416000,0b6d07e1b4fc8bf6607e55ee1f49d88c,nesting
economic_or_replay,max_trades,0b6d07e1b4fc8bf6607e55ee1f49d88c,1764972016000,0b6d07e1b4fc8bf6607e55ee1f49d88c,nesting
economic_or_replay,max_trades,0b6d07e1b4fc8bf6607e55ee1f49d88c,1764975616000,0b6d07e1b4fc8bf6607e55ee1f49d88c,nesting
economic_or_replay,max_trades,0b6d07e1b4fc8bf6607e55ee1f49d88c,1765112416000,0b6d07e1b4fc8bf6607e55ee1f49d88c,nesting
economic_or_replay,max_trades,0b6d07e1b4fc8bf6607e55ee1f49d88c,1765116016000,0b6d07e1b4fc8bf6607e55ee1f49d88c,nesting
economic_or_replay,max_trades,0b6d07e1b4fc8bf6607e55ee1f49d88c,1765119616000,0b6d07e1b4fc8bf6607e55ee1f49d88c,nesting
economic_or_replay,max_trades,0b6d07e1b4fc8bf6607e55ee1f49d88c,1765123216000,0b6d07e1b4fc8bf6607e55ee1f49d88c,nesting
economic_or_replay,max_trades,0b6d07e1b4fc8bf6607e55ee1f49d88c,1765126816000,0b6d07e1b4fc8bf6607e55ee1f49d88c,nesting
economic_or_replay,max_trades,0b6d07e1b4fc8bf6607e55ee1f49d88c,1765130416000,0b6d07e1b4fc8bf6607e55ee1f49d88c,nesting
economic_or_replay,max_trades,0b6d07e1b4fc8bf6607e55ee1f49d88c,1765134016000,0b6d07e1b4fc8bf6607e55ee1f49d88c,nesting
economic_or_replay,max_trades,0b6d07e1b4fc8bf6607e55ee1f49d88c,1765137616000,0b6d07e1b4fc8bf6607e55ee1f49d88c,nesting
economic_or_replay,max_trades,0b6d07e1b4fc8bf6607e55ee1f49d88c,1765141216000,0b6d07e1b4fc8bf6607e55ee1f49d88c,nesting
