relationship_id,market_id_a,market_id_b,question_a,question_b,relationship_type,relationship_family,relationship_subtype,outcome_space_id,outcome_subtype_a,outcome_subtype_b,entity_type_a,entity_type_b,stage_a,stage_b,candidate_a,candidate_b,party_a,party_b,team_a,team_b,validation_status,strategy_eligibility_status,strategy_family,mixed_subtype_reason,strategy_eligible_reason,rejection_reasons_json,strategy_exclusion_reasons_json,final_confidence
20878771e91b87f615499925f6d0cfb5,561978,561981,Will Donald Trump Jr. win the 2028 Republican presidential nomination?,Will Vivek Ramaswamy win the 2028 Republican presidential nomination?,mutually_exclusive_category,category,,,,,,,,,Donald Trump Jr,Vivek Ramaswamy,,,,,accepted,eligible,,,,[],[],0.7
b80c1c6747f94c0280c6121bbbe39564,561247,561251,Will Tim Walz win the 2028 US Presidential Election?,Will LeBron James win the 2028 US Presidential Election?,mutually_exclusive_category,category,,,,,,,,,Tim Walz,LeBron James,,,,,accepted,eligible,,,,[],[],0.7
b25b9ebc55a26b1d08e2b800b611f79f,561978,562007,Will Donald Trump Jr. win the 2028 Republican presidential nomination?,Will Joe Kent win the 2028 Republican presidential nomination?,mutually_exclusive_category,category,,,,,,,,,Donald Trump Jr,Joe Kent,,,,,accepted,eligible,,,,[],[],0.7
b1811bd5d64c3094919057317780309b,561978,562006,Will Donald Trump Jr. win the 2028 Republican presidential nomination?,Will Eric Trump win the 2028 Republican presidential nomination?,mutually_exclusive_category,category,,,,,,,,,Donald Trump Jr,Eric Trump,,,,,accepted,eligible,,,,[],[],0.7
c3b07c6d6622f5a2ba97088fbe788aef,561978,562005,Will Donald Trump Jr. win the 2028 Republican presidential nomination?,Will Thomas Massie win the 2028 Republican presidential nomination?,mutually_exclusive_category,category,,,,,,,,,Donald Trump Jr,Thomas Massie,,,,,accepted,eligible,,,,[],[],0.7
0ccf1b01796cc73bb7619cfe1ab84f76,561978,562004,Will Donald Trump Jr. win the 2028 Republican presidential nomination?,Will Marjorie Taylor Greene win the 2028 Republican presidential nomination?,mutually_exclusive_category,category,,,,,,,,,Donald Trump Jr,Marjorie Taylor Greene,,,,,accepted,eligible,,,,[],[],0.7
57b50f46deb9edb59833d951fabbb3e4,561978,562003,Will Donald Trump Jr. win the 2028 Republican presidential nomination?,Will Kim Kardashian win the 2028 Republican presidential nomination?,mutually_exclusive_category,category,,,,,,,,,Donald Trump Jr,Kim Kardashian,,,,,accepted,eligible,,,,[],[],0.7
33f311bfb7068d70a77062046e67ced2,561978,562002,Will Donald Trump Jr. win the 2028 Republican presidential nomination?,Will Erika Kirk win the 2028 Republican presidential nomination?,mutually_exclusive_category,category,,,,,,,,,Donald Trump Jr,Erika Kirk,,,,,accepted,eligible,,,,[],[],0.7
7ed3f289d33f5a7108e068f122255519,561978,562001,Will Donald Trump Jr. win the 2028 Republican presidential nomination?,Will Steve Bannon win the 2028 Republican presidential nomination?,mutually_exclusive_category,category,,,,,,,,,Donald Trump Jr,Steve Bannon,,,,,accepted,eligible,,,,[],[],0.7
d83a7f2081d9ec5b724374956d45a746,561978,562000,Will Donald Trump Jr. win the 2028 Republican presidential nomination?,Will Rand Paul win the 2028 Republican presidential nomination?,mutually_exclusive_category,category,,,,,,,,,Donald Trump Jr,Rand Paul,,,,,accepted,eligible,,,,[],[],0.7
626abcf503659d6e7f07580d32037459,561978,561999,Will Donald Trump Jr. win the 2028 Republican presidential nomination?,Will Tom Brady win the 2028 Republican presidential nomination?,mutually_exclusive_category,category,,,,,,,,,Donald Trump Jr,Tom Brady,,,,,accepted,eligible,,,,[],[],0.7
0f3d64dd611bfb54cf1bcde2cc9a14e6,561978,561998,Will Donald Trump Jr. win the 2028 Republican presidential nomination?,Will Ivanka Trump win the 2028 Republican presidential nomination?,mutually_exclusive_category,category,,,,,,,,,Donald Trump Jr,Ivanka Trump,,,,,accepted,eligible,,,,[],[],0.7
9b3da1c88ffe97d4ae23fac6847ef2a2,561978,561993,Will Donald Trump Jr. win the 2028 Republican presidential nomination?,Will John Thune win the 2028 Republican presidential nomination?,mutually_exclusive_category,category,,,,,,,,,Donald Trump Jr,John Thune,,,,,accepted,eligible,,,,[],[],0.7
b6a1029b036308218a6c66885debcd8e,561978,561992,Will Donald Trump Jr. win the 2028 Republican presidential nomination?,Will Katie Britt win the 2028 Republican presidential nomination?,mutually_exclusive_category,category,,,,,,,,,Donald Trump Jr,Katie Britt,,,,,accepted,eligible,,,,[],[],0.7
8e4d7ddd0af60f845a0ee3b0f9f93afa,561978,561991,Will Donald Trump Jr. win the 2028 Republican presidential nomination?,Will Matt Gaetz win the 2028 Republican presidential nomination?,mutually_exclusive_category,category,,,,,,,,,Donald Trump Jr,Matt Gaetz,,,,,accepted,eligible,,,,[],[],0.7
46bd090fbb166328d12a0de66e9d6b77,561978,561990,Will Donald Trump Jr. win the 2028 Republican presidential nomination?,Will Elon Musk win the 2028 Republican presidential nomination?,mutually_exclusive_category,category,,,,,,,,,Donald Trump Jr,Elon Musk,,,,,accepted,eligible,,,,[],[],0.7
5533a25c7318afe36099443776d4ed15,561978,561989,Will Donald Trump Jr. win the 2028 Republican presidential nomination?,Will Ted Cruz win the 2028 Republican presidential nomination?,mutually_exclusive_category,category,,,,,,,,,Donald Trump Jr,Ted Cruz,,,,,accepted,eligible,,,,[],[],0.7
98bf13832da606e84803eda9bd798847,561978,561988,Will Donald Trump Jr. win the 2028 Republican presidential nomination?,Will Josh Hawley win the 2028 Republican presidential nomination?,mutually_exclusive_category,category,,,,,,,,,Donald Trump Jr,Josh Hawley,,,,,accepted,eligible,,,,[],[],0.7
7cc72317fe9f0961e23842b957569a1e,561978,561987,Will Donald Trump Jr. win the 2028 Republican presidential nomination?,Will Elise Stefanik win the 2028 Republican presidential nomination?,mutually_exclusive_category,category,,,,,,,,,Donald Trump Jr,Elise Stefanik,,,,,accepted,eligible,,,,[],[],0.7
04a26c6936cf30dee6ee9ff645c8f67d,561978,561986,Will Donald Trump Jr. win the 2028 Republican presidential nomination?,Will Byron Donalds win the 2028 Republican presidential nomination?,mutually_exclusive_category,category,,,,,,,,,Donald Trump Jr,Byron Donalds,,,,,accepted,eligible,,,,[],[],0.7
b758abf398df08350fe85b26c67b75f7,559653,559664,Will Alexandria Ocasio-Cortez win the 2028 Democratic presidential nomination?,Will Raphael Warnock win the 2028 Democratic presidential nomination?,mutually_exclusive_category,category,,,,,,,,,Alexandria Ocasio-Cortez,Raphael Warnock,,,,,accepted,eligible,,,,[],[],0.7
7cd7b84ac54bc139a47d3981c05352ba,561978,562008,Will Donald Trump Jr. win the 2028 Republican presidential nomination?,Will Pete Hegseth win the 2028 Republican presidential nomination?,mutually_exclusive_category,category,,,,,,,,,Donald Trump Jr,Pete Hegsetd,,,,,accepted,eligible,,,,[],[],0.7
b09a627b3b7963d0764295d235d33bcc,559655,559664,Will Josh Shapiro win the 2028 Democratic presidential nomination?,Will Raphael Warnock win the 2028 Democratic presidential nomination?,mutually_exclusive_category,category,,,,,,,,,Josh Shapiro,Raphael Warnock,,,,,accepted,eligible,,,,[],[],0.7
28151abeecb04b8cb68b4d5eab75cc1c,559677,559692,Will Hillary Clinton win the 2028 Democratic presidential nomination?,Will Jasmine Crockett win the 2028 Democratic presidential nomination?,mutually_exclusive_category,category,,,,,,,,,Hillary Clinton,Jasmine Crockett,,,,,accepted,eligible,,,,[],[],0.7
5d4c6b730250a0b05c394ab1aac000cd,559657,559664,Will Stephen A. Smith win the 2028 Democratic presidential nomination?,Will Raphael Warnock win the 2028 Democratic presidential nomination?,mutually_exclusive_category,category,,,,,,,,,Stephen A. Smith,Raphael Warnock,,,,,accepted,eligible,,,,[],[],0.7
