relationship_id,source,question_a,question_b,relationship_type,relationship_subtype,outcome_space_id,strategy_lane,template_id,flags,guard_results_json,source_row_json,suggested_action
,bundle_diagnostics,,,,,2026_nhl_stanley_cup,,,incomplete_yes_blocked,{},"{""basket"": ""blocked_incomplete_yes"", ""completeness_status"": ""unknown"", ""observed_count"": ""8"", ""outcome_space_id"": ""2026_nhl_stanley_cup""}",manual review
,bundle_diagnostics,,,,,2026_nhl_stanley_cup,,,incomplete_yes_blocked,{},"{""basket"": ""blocked_incomplete_yes"", ""completeness_status"": ""unknown"", ""observed_count"": ""8"", ""outcome_space_id"": ""2026_nhl_stanley_cup""}",manual review
,bundle_diagnostics,,,,,2026_nhl_stanley_cup,,,incomplete_yes_blocked,{},"{""basket"": ""blocked_incomplete_yes"", ""completeness_status"": ""unknown"", ""observed_count"": ""8"", ""outcome_space_id"": ""2026_nhl_stanley_cup""}",manual review
,bundle_diagnostics,,,,,2026_nhl_stanley_cup,,,incomplete_yes_blocked,{},"{""basket"": ""blocked_incomplete_yes"", ""completeness_status"": ""unknown"", ""observed_count"": ""8"", ""outcome_space_id"": ""2026_nhl_stanley_cup""}",manual review
,bundle_diagnostics,,,,,2026_nhl_stanley_cup,,,incomplete_yes_blocked,{},"{""basket"": ""blocked_incomplete_yes"", ""completeness_status"": ""unknown"", ""observed_count"": ""8"", ""outcome_space_id"": ""2026_nhl_stanley_cup""}",manual review
,bundle_diagnostics,,,,,2026_nhl_stanley_cup,,,incomplete_yes_blocked,{},"{""basket"": ""blocked_incomplete_yes"", ""completeness_status"": ""unknown"", ""observed_count"": ""8"", ""outcome_space_id"": ""2026_nhl_stanley_cup""}",manual review
,bundle_diagnostics,,,,,2026_nhl_stanley_cup,,,incomplete_yes_blocked,{},"{""basket"": ""blocked_incomplete_yes"", ""completeness_status"": ""unknown"", ""observed_count"": ""8"", ""outcome_space_id"": ""2026_nhl_stanley_cup""}",manual review
,bundle_diagnostics,,,,,2026_nhl_stanley_cup,,,incomplete_yes_blocked,{},"{""basket"": ""blocked_incomplete_yes"", ""completeness_status"": ""unknown"", ""observed_count"": ""8"", ""outcome_space_id"": ""2026_nhl_stanley_cup""}",manual review
,bundle_diagnostics,,,,,2026_nhl_stanley_cup,,,incomplete_yes_blocked,{},"{""basket"": ""blocked_incomplete_yes"", ""completeness_status"": ""unknown"", ""observed_count"": ""8"", ""outcome_space_id"": ""2026_nhl_stanley_cup""}",manual review
,bundle_diagnostics,,,,,2026_nhl_stanley_cup,,,incomplete_yes_blocked,{},"{""basket"": ""blocked_incomplete_yes"", ""completeness_status"": ""unknown"", ""observed_count"": ""8"", ""outcome_space_id"": ""2026_nhl_stanley_cup""}",manual review
,bundle_diagnostics,,,,,2026_nhl_stanley_cup,,,incomplete_yes_blocked,{},"{""basket"": ""blocked_incomplete_yes"", ""completeness_status"": ""unknown"", ""observed_count"": ""8"", ""outcome_space_id"": ""2026_nhl_stanley_cup""}",manual review
,bundle_diagnostics,,,,,2026_nhl_stanley_cup,,,incomplete_yes_blocked,{},"{""basket"": ""blocked_incomplete_yes"", ""completeness_status"": ""unknown"", ""observed_count"": ""8"", ""outcome_space_id"": ""2026_nhl_stanley_cup""}",manual review
,bundle_diagnostics,,,,,2026_nhl_stanley_cup,,,incomplete_yes_blocked,{},"{""basket"": ""blocked_incomplete_yes"", ""completeness_status"": ""unknown"", ""observed_count"": ""8"", ""outcome_space_id"": ""2026_nhl_stanley_cup""}",manual review
,bundle_diagnostics,,,,,2026_nhl_stanley_cup,,,incomplete_yes_blocked,{},"{""basket"": ""blocked_incomplete_yes"", ""completeness_status"": ""unknown"", ""observed_count"": ""8"", ""outcome_space_id"": ""2026_nhl_stanley_cup""}",manual review
,bundle_diagnostics,,,,,2026_nhl_stanley_cup,,,incomplete_yes_blocked,{},"{""basket"": ""blocked_incomplete_yes"", ""completeness_status"": ""unknown"", ""observed_count"": ""8"", ""outcome_space_id"": ""2026_nhl_stanley_cup""}",manual review
