relationship_id,signal_ts_ms,relationship_type,relationship_subtype,outcome_space_id,strategy_lane,gross_edge,net_edge,accepted_for_simulation,flags,label,alignment_quality,candidate_id,context_space_id,estimated_fee,estimated_slippage,execution_model,execution_model_confidence,expected_payout_json,inequality_violated,ingested_ts_ms,market_id_a,market_id_b,net_edge_after_costs,preset,preset_label,preset_name,price_a,price_a_ts_ms,price_b,price_b_ts_ms,rejection_reason,replay_path,run_id,schema_version,simulated_position_json,stake_usdc,staleness_a_ms,staleness_b_ms,theoretical_edge,token_id_a,token_id_b
5910a43939d7ba6fe59cf6b80718e5c3,1765458007000,nested_a_implies_b,,,strict_context_valid,0.01100000,,True,,RESEARCH-ONLY — exploratory_trade_surface,fresh,ec86e770b3122e48f1edecd0fa8a1e08,sports_championship_conference_progression,0.0,0.0500,price_history_only,0.4,{},P(A)=0.0390 > P(B)=0.0280,1778932943485,553866,564218,0.00100000,exploratory_trade_surface,EXPLORATORY,exploratory_trade_surface,0.03900000,1765454418000,0.02800000,1765454411000,,research,phase_h_explore_20260516,1,"[{""token_id"": ""12636035070565821048178968461063687179393834041535317885287743395873720755118"", ""shares"": ""128.2051282051282051282051282"", ""side"": ""buy""}, {""token_id"": ""6842047670820419171425914468337077680927367717837404858652329372722501774629"", ""shares"": ""178.5714285714285714285714286"", ""side"": ""buy""}]",5.0,3589000,3596000,0.01100000,12636035070565821048178968461063687179393834041535317885287743395873720755118,6842047670820419171425914468337077680927367717837404858652329372722501774629
5910a43939d7ba6fe59cf6b80718e5c3,1765461607000,nested_a_implies_b,,,strict_context_valid,0.01100000,,True,,RESEARCH-ONLY — exploratory_trade_surface,fresh,ce990549fbaa2ddf2a8666581aa9a5a5,sports_championship_conference_progression,0.0,0.0500,price_history_only,0.4,{},P(A)=0.0390 > P(B)=0.0280,1778932943485,553866,564218,0.00100000,exploratory_trade_surface,EXPLORATORY,exploratory_trade_surface,0.03900000,1765454418000,0.02800000,1765454411000,,research,phase_h_explore_20260516,1,"[{""token_id"": ""12636035070565821048178968461063687179393834041535317885287743395873720755118"", ""shares"": ""128.2051282051282051282051282"", ""side"": ""buy""}, {""token_id"": ""6842047670820419171425914468337077680927367717837404858652329372722501774629"", ""shares"": ""178.5714285714285714285714286"", ""side"": ""buy""}]",5.0,7189000,7196000,0.01100000,12636035070565821048178968461063687179393834041535317885287743395873720755118,6842047670820419171425914468337077680927367717837404858652329372722501774629
5910a43939d7ba6fe59cf6b80718e5c3,1765465207000,nested_a_implies_b,,,strict_context_valid,0.01100000,,True,,RESEARCH-ONLY — exploratory_trade_surface,fresh,d3dbed83ba5a189f22f0b7079b84e5d0,sports_championship_conference_progression,0.0,0.0500,price_history_only,0.4,{},P(A)=0.0390 > P(B)=0.0280,1778932943485,553866,564218,0.00100000,exploratory_trade_surface,EXPLORATORY,exploratory_trade_surface,0.03900000,1765454418000,0.02800000,1765454411000,,research,phase_h_explore_20260516,1,"[{""token_id"": ""12636035070565821048178968461063687179393834041535317885287743395873720755118"", ""shares"": ""128.2051282051282051282051282"", ""side"": ""buy""}, {""token_id"": ""6842047670820419171425914468337077680927367717837404858652329372722501774629"", ""shares"": ""178.5714285714285714285714286"", ""side"": ""buy""}]",5.0,10789000,10796000,0.01100000,12636035070565821048178968461063687179393834041535317885287743395873720755118,6842047670820419171425914468337077680927367717837404858652329372722501774629
5910a43939d7ba6fe59cf6b80718e5c3,1765468807000,nested_a_implies_b,,,strict_context_valid,0.01100000,,True,,RESEARCH-ONLY — exploratory_trade_surface,fresh,3c9f0d4e6e8b9324b8fcafea0a1cbd04,sports_championship_conference_progression,0.0,0.0500,price_history_only,0.4,{},P(A)=0.0390 > P(B)=0.0280,1778932943485,553866,564218,0.00100000,exploratory_trade_surface,EXPLORATORY,exploratory_trade_surface,0.03900000,1765454418000,0.02800000,1765454411000,,research,phase_h_explore_20260516,1,"[{""token_id"": ""12636035070565821048178968461063687179393834041535317885287743395873720755118"", ""shares"": ""128.2051282051282051282051282"", ""side"": ""buy""}, {""token_id"": ""6842047670820419171425914468337077680927367717837404858652329372722501774629"", ""shares"": ""178.5714285714285714285714286"", ""side"": ""buy""}]",5.0,14389000,14396000,0.01100000,12636035070565821048178968461063687179393834041535317885287743395873720755118,6842047670820419171425914468337077680927367717837404858652329372722501774629
5910a43939d7ba6fe59cf6b80718e5c3,1765472407000,nested_a_implies_b,,,strict_context_valid,0.01100000,,True,,RESEARCH-ONLY — exploratory_trade_surface,fresh,16986725cfdd830f73938801125166e4,sports_championship_conference_progression,0.0,0.0500,price_history_only,0.4,{},P(A)=0.0390 > P(B)=0.0280,1778932943485,553866,564218,0.00100000,exploratory_trade_surface,EXPLORATORY,exploratory_trade_surface,0.03900000,1765454418000,0.02800000,1765454411000,,research,phase_h_explore_20260516,1,"[{""token_id"": ""12636035070565821048178968461063687179393834041535317885287743395873720755118"", ""shares"": ""128.2051282051282051282051282"", ""side"": ""buy""}, {""token_id"": ""6842047670820419171425914468337077680927367717837404858652329372722501774629"", ""shares"": ""178.5714285714285714285714286"", ""side"": ""buy""}]",5.0,17989000,17996000,0.01100000,12636035070565821048178968461063687179393834041535317885287743395873720755118,6842047670820419171425914468337077680927367717837404858652329372722501774629
5910a43939d7ba6fe59cf6b80718e5c3,1765476007000,nested_a_implies_b,,,strict_context_valid,0.01100000,,True,,RESEARCH-ONLY — exploratory_trade_surface,fresh,f80d5b6659d36133554c50403ea332cd,sports_championship_conference_progression,0.0,0.0500,price_history_only,0.4,{},P(A)=0.0390 > P(B)=0.0280,1778932943485,553866,564218,0.00100000,exploratory_trade_surface,EXPLORATORY,exploratory_trade_surface,0.03900000,1765454418000,0.02800000,1765454411000,,research,phase_h_explore_20260516,1,"[{""token_id"": ""12636035070565821048178968461063687179393834041535317885287743395873720755118"", ""shares"": ""128.2051282051282051282051282"", ""side"": ""buy""}, {""token_id"": ""6842047670820419171425914468337077680927367717837404858652329372722501774629"", ""shares"": ""178.5714285714285714285714286"", ""side"": ""buy""}]",5.0,21589000,21596000,0.01100000,12636035070565821048178968461063687179393834041535317885287743395873720755118,6842047670820419171425914468337077680927367717837404858652329372722501774629
5910a43939d7ba6fe59cf6b80718e5c3,1765479607000,nested_a_implies_b,,,strict_context_valid,0.01100000,,True,,RESEARCH-ONLY — exploratory_trade_surface,stale,185b9da6b511c0eded9f095d717468fd,sports_championship_conference_progression,0.0,0.0500,price_history_only,0.4,{},P(A)=0.0390 > P(B)=0.0280,1778932943485,553866,564218,0.00100000,exploratory_trade_surface,EXPLORATORY,exploratory_trade_surface,0.03900000,1765454418000,0.02800000,1765454411000,,research,phase_h_explore_20260516,1,"[{""token_id"": ""12636035070565821048178968461063687179393834041535317885287743395873720755118"", ""shares"": ""128.2051282051282051282051282"", ""side"": ""buy""}, {""token_id"": ""6842047670820419171425914468337077680927367717837404858652329372722501774629"", ""shares"": ""178.5714285714285714285714286"", ""side"": ""buy""}]",5.0,25189000,25196000,0.01100000,12636035070565821048178968461063687179393834041535317885287743395873720755118,6842047670820419171425914468337077680927367717837404858652329372722501774629
5910a43939d7ba6fe59cf6b80718e5c3,1765483207000,nested_a_implies_b,,,strict_context_valid,0.01100000,,True,,RESEARCH-ONLY — exploratory_trade_surface,stale,89d057a3fcec95eb37c5272735e7e723,sports_championship_conference_progression,0.0,0.0500,price_history_only,0.4,{},P(A)=0.0390 > P(B)=0.0280,1778932943485,553866,564218,0.00100000,exploratory_trade_surface,EXPLORATORY,exploratory_trade_surface,0.03900000,1765454418000,0.02800000,1765454411000,,research,phase_h_explore_20260516,1,"[{""token_id"": ""12636035070565821048178968461063687179393834041535317885287743395873720755118"", ""shares"": ""128.2051282051282051282051282"", ""side"": ""buy""}, {""token_id"": ""6842047670820419171425914468337077680927367717837404858652329372722501774629"", ""shares"": ""178.5714285714285714285714286"", ""side"": ""buy""}]",5.0,28789000,28796000,0.01100000,12636035070565821048178968461063687179393834041535317885287743395873720755118,6842047670820419171425914468337077680927367717837404858652329372722501774629
5910a43939d7ba6fe59cf6b80718e5c3,1765486807000,nested_a_implies_b,,,strict_context_valid,0.01100000,,True,,RESEARCH-ONLY — exploratory_trade_surface,stale,386cc3bb71c92fd85496e9f101a63f90,sports_championship_conference_progression,0.0,0.0500,price_history_only,0.4,{},P(A)=0.0390 > P(B)=0.0280,1778932943485,553866,564218,0.00100000,exploratory_trade_surface,EXPLORATORY,exploratory_trade_surface,0.03900000,1765454418000,0.02800000,1765454411000,,research,phase_h_explore_20260516,1,"[{""token_id"": ""12636035070565821048178968461063687179393834041535317885287743395873720755118"", ""shares"": ""128.2051282051282051282051282"", ""side"": ""buy""}, {""token_id"": ""6842047670820419171425914468337077680927367717837404858652329372722501774629"", ""shares"": ""178.5714285714285714285714286"", ""side"": ""buy""}]",5.0,32389000,32396000,0.01100000,12636035070565821048178968461063687179393834041535317885287743395873720755118,6842047670820419171425914468337077680927367717837404858652329372722501774629
5910a43939d7ba6fe59cf6b80718e5c3,1765490407000,nested_a_implies_b,,,strict_context_valid,0.01100000,,True,,RESEARCH-ONLY — exploratory_trade_surface,stale,31c68be282c71be0fa7a08f3d6f3410f,sports_championship_conference_progression,0.0,0.0500,price_history_only,0.4,{},P(A)=0.0390 > P(B)=0.0280,1778932943486,553866,564218,0.00100000,exploratory_trade_surface,EXPLORATORY,exploratory_trade_surface,0.03900000,1765454418000,0.02800000,1765454411000,,research,phase_h_explore_20260516,1,"[{""token_id"": ""12636035070565821048178968461063687179393834041535317885287743395873720755118"", ""shares"": ""128.2051282051282051282051282"", ""side"": ""buy""}, {""token_id"": ""6842047670820419171425914468337077680927367717837404858652329372722501774629"", ""shares"": ""178.5714285714285714285714286"", ""side"": ""buy""}]",5.0,35989000,35996000,0.01100000,12636035070565821048178968461063687179393834041535317885287743395873720755118,6842047670820419171425914468337077680927367717837404858652329372722501774629
