context_space_id,market_id_a,market_id_b,rejection_reason,relationship_id,relationship_subtype,relationship_type,strategy_lane
nba_championship_conference_progression,553858,564195,relationship_confidence_below_threshold,51207470d2d1eaeb030793374c6e41bf,same_topic_no_trade,inverse,reviewed_context_valid
nba_championship_conference_progression,553866,564218,relationship_confidence_below_threshold,5910a43939d7ba6fe59cf6b80718e5c3,same_topic_no_trade,inverse,reviewed_context_valid
nba_championship_conference_progression,553863,564213,relationship_confidence_below_threshold,5cbaac0833c565c415abb666711492a7,same_topic_no_trade,inverse,reviewed_context_valid
nba_championship_conference_progression,553857,564194,relationship_confidence_below_threshold,8407c57015a96ee8629b28c86de3e9b9,same_topic_no_trade,inverse,reviewed_context_valid
nba_championship_conference_progression,553856,564210,relationship_confidence_below_threshold,a6edab19118abe85173fa9a8b0f4cbe4,same_topic_no_trade,inverse,reviewed_context_valid
nba_championship_conference_progression,553859,564214,relationship_confidence_below_threshold,c59ce4101206b392aeae82caa975a822,same_topic_no_trade,inverse,reviewed_context_valid
nba_championship_conference_progression,553871,564198,relationship_confidence_below_threshold,d008adcd0b51b08ed1dda73178f8ee32,same_topic_no_trade,rejected,reviewed_context_valid
premier_league_finish_position,572765,582134,relationship_confidence_below_threshold,05ae0794a6a689f86dd1441ff2df26ec,team_exact_finish_position_vs_team_top_n_finish,rejected,reviewed_context_valid
premier_league_finish_position,572770,582138,relationship_confidence_below_threshold,4d8e3f1dfa6859ea0a922dd6e3d3c163,team_exact_finish_position_vs_team_top_n_finish,rejected,reviewed_context_valid
premier_league_finish_position,572772,582139,relationship_confidence_below_threshold,866a3f7cda29a5d81f552e8d3bf9ee2e,team_exact_finish_position_vs_team_top_n_finish,rejected,reviewed_context_valid
